Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
AD0FK43X,1017577605,6315,483530,147643,663297,121422,16228039,1,0,English
BD15IY56,1017544335,54645,100330,17860,1216020,192000,16800930,1,0,German
IP8W007A,1016450160,145230,130401,6553,3611359,1118169,26996445,1,0,English
L2XZFKL9,1011013035,84960,262273,10516,880728,240442,31456198,1,1,French
WC8PNHNL,1006608690,95625,29927,10618,614395,108466,27464678,1,0,Russian
G4KVRTGQ,1002681105,163095,66781,5573,672403,136341,60194490,1,0,English
GO9WHW2M,978947160,132615,43397,7112,4520305,489250,18504106,1,0,English
FDD223BI,972961650,93750,36971,10290,773712,197486,23738903,1,0,Russian
7OO70VTA,972317520,154845,16681,6198,694253,66513,17095676,1,1,English
P23IZJMN,964334055,56505,112160,16026,5367605,2085831,45579002,1,0,English
ROFQ19G1,955346835,253395,47638,3652,883706,124020,25815105,1,0,French
O90TWFKA,938816460,114765,17036,8255,523512,101937,16237397,1,0,Russian
5YT2TYSV,905107560,230940,148350,4135,401400,132108,22813009,1,0,English
MVN0LIGB,899215845,118980,17738,7234,2641880,175130,19181711,1,0,English
X4YHBO6X,888938940,189045,29597,4393,471970,216021,24144005,1,0,English
VSUNFGPB,888505170,30240,471281,29612,7744066,833587,30621257,1,0,English
QHNUQQYB,888211260,38655,132224,22070,1549722,1400039,6781403,1,0,Portuguese
T90AOOQZ,884353800,59295,97838,14195,1087377,1052053,37351933,1,0,Russian
51YNXR5E,864157695,138360,27421,6060,1242014,333090,15626904,1,0,English
D218JU25,859718520,85860,107069,9229,425797,363343,19412227,1,0,Portuguese
OL8NBZ87,857951685,116400,71933,7173,427926,367486,17151766,1,0,Korean
75NI9X3H,853324635,92970,115737,8627,346934,243137,28789066,1,0,Russian
9EX0O7JM,853049385,110940,44758,7699,2601858,1108422,14789437,1,0,Spanish
FSQAA39X,850636305,48765,146577,17573,502467,280538,31029241,1,0,English
EF71XH1R,849083325,123780,45631,6039,1204773,946280,12708431,1,0,Spanish
N4CKQX2X,842581305,144510,51854,5333,1258173,517248,24523589,1,0,Portuguese
0NG1PFPQ,827452485,460065,17513,1802,149073,35986,10445269,1,0,French
22LK1O0N,817373955,103095,68813,8264,1293451,547018,18105470,1,0,Portuguese
JRGHFDWP,812538090,6195,457060,126232,541644,108438,12068376,1,0,Russian
4D5FPYBK,812362125,208785,14181,3683,185506,29752,20715640,1,0,Chinese
KGXQFUL2,805163370,24480,254493,33132,1796619,83198,27099682,1,0,English
LR06LGMS,794621265,108720,24923,7180,755116,68557,15548337,1,0,English
7JG84QFI,790021440,108375,74199,6309,784966,723082,7527027,1,0,English
3PGLSA9K,789698115,170010,78741,4410,520519,238257,17102146,1,1,English
8MO14O6C,788421150,199350,96236,3688,248829,244295,8815201,1,0,English
S2OXJYLI,779867430,169515,23555,4642,414951,132125,20334558,1,1,Czech
LKYXP5SN,753808200,25260,113167,24689,501371,315910,21104122,1,0,English
GZDTCHOA,748023225,101670,40497,6743,2138294,558107,14533643,1,0,English
Z9O9PMWK,744620970,118125,26141,6328,859439,763489,15894732,1,1,English
80OA5J7S,728551080,325935,7441,2217,85247,29549,18572922,1,1,Chinese
59F52N3B,726379485,51150,65543,13224,1223076,672978,20881140,1,0,Turkish
R75RPS21,726000045,145755,13080,4922,346566,37883,12800182,1,0,English
5ZEPU45X,722562675,134280,55752,4919,2009972,167704,15136396,1,0,English
4XSCEM6Z,721548885,177885,69009,3836,1080764,495072,23271722,1,0,Italian
76YDFLAT,717096330,129165,43050,4463,1461767,286467,23586902,1,0,Polish
30HJ6PEQ,715644660,109725,35865,6249,675908,57448,32228705,1,1,Russian
U5SYZTSI,711864630,152445,17253,4534,322895,46946,15586820,1,0,Korean
3HS2U47P,704823000,107745,87751,6127,175061,137229,17857171,1,0,English
K09SMFPZ,686456910,126105,45726,5163,426716,189847,20714971,1,0,Spanish
XC5PWPUD,667977780,29775,158972,19260,2149306,875678,21128175,1,0,French
JTK9SC4V,663185955,487005,6075,1361,67472,26937,55639770,1,0,English
WJVO76D0,662502810,65610,102022,11423,829700,276400,23040428,1,0,French
PK9F2HU5,661075170,41175,43877,13154,825727,39065,28719610,1,0,English
S6FSW6U2,661049190,212010,99858,4714,337177,91323,14784068,1,0,English
4OTXYM2Q,656365305,80760,20913,7394,772055,331906,8392545,1,0,English
K9Q0A58R,653181210,187530,33646,3270,817365,29415,13757678,1,0,English
0XNV74CW,652685055,126120,16497,5303,446426,34362,20520762,1,1,Chinese
FFNRR6KQ,650910525,162690,24101,3894,571183,115692,8579344,1,1,English
CB52DBWG,650364705,158850,14177,4100,591500,207575,18626351,1,0,Korean
8B5F6ITD,649761570,145050,14480,4420,423002,249048,14109245,1,1,English
F8H3H8CW,646333065,60795,56790,10626,1128907,389268,25254350,1,0,Russian
F4RLSDLM,644580630,443130,54885,1384,961860,127684,20999649,1,0,English
DABYIE5C,639445965,113415,57254,5332,362297,108498,17248420,1,0,Korean
0SOYEP9Q,628079220,76605,24263,8165,1327059,353576,19915875,1,0,Portuguese
BNJ3NMR9,625892895,446655,16702,1397,121053,120954,13670649,1,1,Chinese
FHOPTZB0,625142130,115650,13945,5216,331632,77979,13181386,1,0,German
BGEMJVXA,622424175,77160,80444,8919,1865296,1061265,19438119,1,0,Spanish
0CDGAYKA,622199835,103335,24727,5856,594239,50345,12089717,1,0,English
J8YYC6WF,620395515,160830,30514,3846,1134153,250201,17922897,1,0,English
RJATTS13,619247415,108450,50103,5512,824676,469017,17854413,1,0,French
56JSIAOP,618755280,100515,17585,5941,374480,42764,18366224,1,0,Chinese
58DAOOID,618067800,235170,13495,2560,1707804,532750,48015117,1,0,English
W2YA3N9F,615472275,181950,7808,3247,421256,65267,7518457,1,0,English
V07ESTND,612617325,73590,75219,3197,457502,450299,12391816,1,0,Russian
GPTN6WDH,612594165,165525,36340,3429,878934,15334,10831070,1,0,English
OYPIVZVE,610609920,95730,30648,6073,514866,322929,6034891,1,0,Italian
D9UAD2E2,601906185,97545,43164,5843,465887,121506,18265409,1,0,Korean
7JQ16RUD,600910875,498765,7940,1196,324765,271487,6544645,1,0,Portuguese
UQVZ2LTT,600882645,130620,70983,4560,565661,221911,14071951,1,0,French
MS1G6X2M,599850495,97830,26221,5948,770535,153803,7831334,1,0,Spanish
5VQWD97R,597275955,121545,12810,4710,274875,90213,9977487,1,0,Korean
GE19PBFD,596368095,167190,26087,3478,2652018,50312,13182700,1,0,English
I58QYEII,595707975,125745,31874,4167,1288969,1035561,15264996,1,0,English
9T6D3PYV,588662010,129660,17317,4403,302633,45957,18161823,1,0,Russian
P5EXYHUT,586925850,344055,33245,1588,535211,73678,8305604,1,0,English
KJHW3486,582401145,175920,11860,3336,134757,74221,7251200,1,1,English
4WBY3HWW,582125625,77385,73861,7438,1852272,566210,25333548,1,1,Turkish
XJXQP1J0,581034300,142890,137531,3199,207484,128050,6176254,1,1,English
OU452A0B,580787955,34350,75491,14423,1739112,1455278,20411553,1,0,English
CI5EDXBH,580541850,41715,189859,13089,1029203,104382,21525216,1,0,Russian
QV99FVDF,578122875,32100,57849,17488,697007,682512,9965787,1,1,Spanish
225WJFK4,577240710,267465,6524,2168,151098,42680,7493491,0,1,English
8XU4VY9S,575998575,157995,10011,3581,220488,78264,13401489,1,0,Polish
IO1IT7G8,575138175,91260,23935,6091,572789,215098,12984472,1,0,Polish
NKKG78PW,569601090,151815,15190,3607,372334,213291,15165872,1,0,English
2TP39G7T,567374295,58545,43422,9583,1372290,486410,17629667,1,1,Turkish
52BWVZAT,566176425,61890,43683,8929,1422862,247212,18410268,1,0,Turkish
ZCDGYGWZ,561997440,134715,25866,3953,293595,66982,13159849,1,0,English
01HZ42KZ,561616335,89745,45741,7083,1278824,403108,12441822,1,1,English
RXT290WM,559915035,183225,64308,2844,659652,649562,12736000,1,0,Spanish
ZDMDZIER,558883590,273660,33624,1941,108623,88671,6626543,0,1,English
FXWAIWQS,558587535,128580,32463,4150,521201,270255,9851921,1,1,English
MF457R22,558170835,238035,11659,2175,1519266,216326,7491995,1,0,English
B2FFMYLZ,556741020,183660,15155,3024,977377,78054,6777975,1,1,English
VWWLKYMW,555637890,140670,15858,4040,165823,95603,9518923,1,0,Korean
XJTOSI79,554249955,68355,46106,7155,505361,425023,20086431,1,0,English
GRRPI6F3,553663800,131580,23408,3875,1076499,281967,13901197,1,0,Portuguese
M775CYE7,553283745,96450,29272,5632,1089830,300545,17980307,1,0,Portuguese
NAP4TATH,550951215,157545,22571,3430,1272899,273926,13683195,1,0,English
EXLEJRLG,549244755,134985,11759,4062,287639,10062,14188002,1,1,Korean
O7OWG34T,548041425,118920,14578,4629,276694,76546,8434367,1,0,Thai
QDPX0K11,545108145,169605,101124,2801,276242,154466,7844435,1,0,English
PPNV6WYE,544706325,126705,12461,4378,331744,19325,20264128,1,0,Chinese
8X30KMEZ,543954570,171195,54477,2779,337972,157424,9290817,1,0,English
QNM07Y8M,540556545,110880,106003,5044,511431,121099,23271913,1,0,Russian
HUD6GB7G,539495145,21300,110800,17689,571210,237069,7827030,1,0,English
PW3F9DSA,536989080,86790,19065,6125,442493,80616,5560969,1,1,English
YJGGWTJS,532969650,50910,73800,9633,308528,141297,9294132,1,0,Korean
X168C75D,530456265,105540,40183,4990,1258713,371005,24222810,1,0,Turkish
6X8F9YMR,526660590,101235,21341,5172,514693,232079,13289271,1,0,Polish
6FLHBD8U,525883695,94575,60346,5368,542580,505089,8508355,1,0,English
DBMA8ASV,525737445,127380,11854,3953,234884,62490,7653194,1,0,English
PVRV3NYK,523057245,79665,41644,5268,1001350,479830,11106951,1,0,English
7RO7QZCM,521568750,100605,16128,4985,95643,23288,44675247,1,0,English
UZLC2URJ,521511525,96315,83666,5767,326118,181232,84500786,1,0,English
PJQFO785,519458565,136515,30702,3756,1024814,315190,12051692,1,0,English
SPFAZMWD,516113670,36555,109148,14509,999480,644684,71159574,1,0,English
MGMEJAQD,516009420,166575,8337,3105,207369,18023,18201933,1,0,Chinese
PVT8V8J9,515812965,192255,12540,2483,570621,159892,11386166,1,0,English
EABIDKF5,510984165,159300,85051,2957,1748928,120782,20688501,1,0,English
JQPFUCR9,510323715,151215,22375,3152,516113,49577,8448691,1,1,English
ZIBSNLE9,509643945,21000,72199,24739,840624,378656,11648873,1,1,English
NH5EOGD0,509052375,135495,12648,3766,505362,470589,8983449,1,0,English
6RPWO3IK,506838930,71355,79976,6789,893010,275270,8661072,1,0,English
M9I9SX11,505333050,128790,12084,3859,169505,51935,10969148,1,0,Korean
BUP7C2M2,501208575,161295,9339,3059,182260,60506,5692219,1,1,English
JVSD8CHM,499421415,64875,110095,6328,503346,46779,13724263,1,0,German
GGGRPU9R,495563580,140595,51268,3507,1701314,425036,11009240,1,1,English
A2U8JC6P,492835710,17115,56325,29414,2716270,750480,26508938,1,0,Korean
M85D3U0I,492733995,27060,89706,18180,2951980,1454481,19515587,1,0,English
UNMCS09R,490230510,95055,16243,5107,489270,144698,13076008,1,0,Korean
DS7UIE7J,487281450,132630,67732,2741,702744,623391,9556065,1,0,English
R9ZLSI3X,483895050,120435,20936,3992,171858,54326,14452008,1,0,Korean
ND2E2PQF,482387190,79995,57813,5032,786983,417899,9640983,1,0,Spanish
055NWZEV,477949200,56280,33075,8407,1363222,657630,14729189,1,0,English
2BLTT4HP,476597370,71655,39961,6627,479900,150486,12959273,1,1,French
D2RJDUOC,473157810,251250,11063,1802,123954,20250,14247514,1,0,German
Y3KX0VLD,472786395,160140,12621,2914,767727,250434,6445996,1,0,English
G7538IK0,472405995,137175,17327,3312,1536757,109795,9570639,1,0,English
65Y7RU83,468792120,130275,13825,3519,328473,59167,17845821,1,1,Russian
BN4JE7NJ,468467130,59925,51244,7554,658658,491663,10630158,1,1,German
L509GLCH,461605275,508965,4148,900,286184,211365,19054606,1,0,Portuguese
J65NR2XT,460519830,156195,20745,2552,267004,47149,16917944,1,0,English
TKBNSGI1,460332570,78945,32758,5621,392024,177673,8610645,1,0,English
6EOVNTNT,459076530,120975,23107,3550,302593,287810,8907366,1,0,English
9FYM6QDU,458883255,32625,65622,15405,276488,132821,5377506,1,0,Korean
JT4JZ6NY,457242510,159825,10845,2825,132642,74094,6606894,1,0,English
7SJEZAJS,453487500,183090,15495,2392,705098,21398,17009119,1,0,English
BDS3J35W,452479680,143730,17228,3131,222046,92067,10569192,1,0,Japanese
5QGY9O02,451910415,132015,15296,3365,430649,46282,12249560,1,0,English
863778E5,449223195,100800,45549,4207,604374,281928,11787544,1,0,German
3RV85UK2,443328990,499575,11191,884,219431,124548,11142208,1,1,Portuguese
TMQFGR0Q,442870530,93480,23813,4591,797244,79514,8695968,1,0,English
F9FFU6TL,440331540,50175,40327,7985,1472104,428800,7844647,1,1,English
EGOSNSU6,438460680,135090,11971,3184,247303,24901,6326808,1,1,English
JGN68KP2,438143850,119085,104568,3088,315637,130944,6321235,1,0,English
MUH45P98,437353350,184845,14610,2348,169973,29861,13001718,1,0,Chinese
GIBFISG0,436243530,137910,10628,3084,180412,49296,13297850,1,1,Chinese
0X91H5VW,434971635,67995,21369,6394,533250,74407,14755893,1,1,Russian
06IVU4GO,433329345,301395,22132,1460,244440,35038,32500708,1,0,English
X3R2OX5X,429213420,63870,24687,6767,455444,130564,8859183,1,0,English
6JAB2AN4,428279160,51180,19194,8405,258402,88247,12225523,1,0,Chinese
FRTGKM29,428267280,59655,93577,6829,1068260,611786,11805401,1,0,French
CGJWM4P2,426325350,163530,19755,2540,252495,86220,7404102,1,1,English
8HOPGD04,425044665,107610,39433,3247,361360,288952,6298662,1,0,English
31IHVMRY,422278350,46800,36933,9306,301033,26768,9798569,1,0,Korean
SHAHXRBF,421436625,58965,18270,7165,703464,200170,14369324,1,0,Turkish
4CRZTEAO,420316860,118410,19688,3414,709343,58604,7906425,1,0,English
607U39SF,419187600,188895,13419,2244,159402,42931,4822422,1,1,English
0IDL8OGS,418413015,72930,74670,5772,680023,211908,13364167,1,0,Spanish
9NC1DEXI,415091820,103170,42135,3977,1166681,724159,7780736,1,0,English
JGX1ILXN,412717875,86265,15405,4731,542991,120906,7575905,1,0,English
ZQ120S05,411900525,69900,54323,5671,476096,138468,6201733,1,0,English
LXKA2N7D,411414600,244560,147514,1751,349054,61032,7424007,1,0,English
EN6MWPBS,411274050,80670,21187,4632,1251182,139443,8151140,1,0,English
YLE8G7TT,410621295,144135,10455,2733,507730,236118,8093220,1,0,German
8UCIJWV0,409985220,228615,14288,1753,270720,36757,9812812,1,0,English
1LHX10RC,408885990,92565,19611,4319,599036,142689,7944645,1,0,English
IERVKR49,408478725,87990,21212,4221,849972,281059,10731565,1,0,Portuguese
85PEOHUV,407829960,163815,15547,2492,142427,26782,4368785,1,1,English
8DKR3J7M,407214675,118335,22496,3352,668807,182123,5999354,1,0,English
TYAD0QSJ,407188275,117555,36519,3203,529814,212042,7967420,1,0,Portuguese
W2N2RJZP,407156655,95160,28779,4193,1028544,55228,7374161,1,1,English
UU6IC5S0,403848390,145035,13421,2791,299033,50231,7743238,1,1,English
VF059RCA,402836460,156135,20284,2326,425072,150470,12693893,1,0,Polish
8R5OA70G,402468465,112545,37469,3410,648084,606080,9957496,1,0,Spanish
RYL2BBBX,401439255,155325,8406,2549,283232,16999,17013239,1,0,Chinese
MGMGNTE2,400822020,123375,34345,3276,787371,36756,10008765,1,0,English
76LLDJFL,400635750,50310,94869,7656,845158,671127,4198232,1,0,Arabic
SUGFWVKE,399746130,135180,15608,2876,149648,73218,7427189,1,1,English
LHVYXII6,398289900,150495,7955,2635,1233300,337821,19024045,1,0,English
EFXBTYMS,390922410,26325,60682,13675,141684,36105,9101692,1,0,Japanese
M4QDN01O,389890800,362970,94083,1061,216558,81658,6933788,1,0,English
ITZK81I2,387717165,84495,39004,4147,576903,122061,11483357,1,0,German
X643S3FJ,385755615,137400,12274,2772,175503,112595,11672019,1,0,English
NF34XD4O,385739280,153105,10316,2523,159763,48388,5464553,1,1,English
49QSJVAC,385176540,197055,9401,1891,309065,87400,7215989,1,0,Korean
B96A00C5,384746505,136095,25387,2431,461534,269311,6207063,1,0,English
RAOT3RXN,380251830,73935,58416,4939,244467,66680,14339774,1,0,English
LKZHIRCA,379971075,111555,41610,3311,1055613,449635,14221498,1,0,English
I247XEYT,379800060,97860,20861,3791,148568,84393,10605782,1,0,French
CKNU0ICY,379682235,155910,21922,2228,504653,156093,5794763,1,0,English
5SSCFEZ7,379633995,188070,19318,1931,658323,183265,11489901,1,0,English
48KBBH8J,379345935,132360,11751,2796,247056,30588,6547592,1,0,English
DX58RAM9,378734925,70725,26274,4826,375749,249186,6981248,1,1,Italian
BDMUBN1S,377312595,176580,21993,2153,1001739,37734,7803917,1,1,English
NHAAWP41,376430955,73815,25340,4991,763886,193266,8969210,1,0,Portuguese
HZH9LMS7,376358805,142830,22141,2717,367223,73551,17822170,1,1,Thai
S26NQW7N,376209315,93615,37023,3969,341549,66811,12351240,1,0,Russian
CNCBOBO1,372767025,171675,4922,2154,276421,13471,5367772,1,1,English
DVP4PQUH,371417130,132945,28917,2650,1476226,115863,8688676,1,1,English
G61WMOBB,369971310,137190,16518,2391,512592,176173,4803076,1,0,English
3MUA8P6B,369166335,12030,169084,28584,3558217,1163448,21509520,1,0,English
EW9Y0J1A,362552205,43350,114234,5123,365714,50355,18694298,1,0,Spanish
2FLW7WF1,361741665,80535,28830,4841,269447,147894,5746209,1,0,French
J3UOGJYE,360858030,518415,5223,696,416018,27024,5973152,1,0,German
1M5DUJXM,360278835,184845,9822,1892,366463,48331,4962556,1,1,English
6916U98C,359273445,336690,5210,1258,166594,65904,4541683,1,1,Portuguese
22754SFS,359095725,159420,8247,2269,179920,67794,10882318,1,0,Japanese
78RSYVF7,357966315,57165,74949,6530,219539,166599,9173781,1,0,English
N23NAG3L,356907810,111165,32577,2311,598579,239491,8203617,1,0,French
2BQQXB8J,356697420,198075,9601,1801,741652,129328,12187175,1,0,Portuguese
ZAFAWWID,355389630,203175,7216,1782,236407,174213,6900666,1,0,English
IB0JPMZS,355091505,111360,23255,3043,242969,196880,13687141,1,0,French
X8ADNLXD,354144315,170220,11495,1953,314170,44982,5500067,1,1,English
FHKNQBSZ,353396640,117720,25314,2717,1717150,145809,9971842,1,0,English
DPIJ128N,353381040,141450,29993,2484,507418,270927,12873339,1,0,Korean
IM58CP0E,353046060,50310,47081,6795,885915,650990,5134322,1,0,French
RR688HU4,352700745,17880,73049,19753,173861,75538,6832561,1,0,Russian
IUDK52B7,351025410,158640,38563,2260,390579,74894,18596656,1,0,Thai
SGJFQ62Z,350120640,215505,7628,1584,103260,20536,8471746,1,0,Korean
0944SK4L,346276365,96000,19328,3563,428179,244442,8920133,1,0,Korean
C11EUVPJ,346171920,126795,11839,2735,572005,45761,6526670,1,1,English
GYT9QS0R,345166455,88035,10349,3889,279922,34803,12888906,1,0,Russian
0I0XXE15,342273825,185715,48810,1696,157620,136490,7245324,1,0,Russian
HVOVCF8H,342162660,98730,20204,3344,598678,254821,16648694,1,0,English
4CSKTZOZ,341874270,91545,15429,3711,259624,90591,5503882,1,0,German
QJPASFRJ,340417455,57870,66706,5695,141026,74586,16290334,1,0,Polish
LFMPRG5C,340095510,100125,23488,3402,241746,111122,4409296,1,1,English
AACQMHR3,338213940,122835,18387,2653,261139,85861,9889442,1,0,German
80DSECMS,338084550,167190,24576,2034,204605,192534,5554989,1,1,French
GUT5Y3EI,335695215,106200,22074,3054,339545,69474,6132895,1,0,English
OF9B7851,335311860,145425,12180,2202,166726,35165,7631326,1,0,Korean
O48IZKNE,333869670,92250,41700,3735,850944,836664,11325781,1,0,English
1Y3G4NAU,333097410,24615,34971,12723,1681884,740732,20277843,1,0,English
AZ0NWPFD,331965075,48945,259210,6210,1093212,795296,10207313,1,0,Spanish
ZHJ26NLJ,331726155,149700,8140,2189,240206,21662,3365340,1,0,English
SU8K3OH9,331308960,55125,27529,5711,786562,256678,10562872,1,0,Russian
4D0E2IT4,330160515,63360,47343,5165,731808,728892,8279834,1,1,English
AF7OZC1H,329448660,137670,7560,2519,85678,66129,9003037,1,1,Russian
GWP3J6UZ,328935150,116520,27956,2761,413458,49713,23682775,1,0,Russian
8SXTZMVM,327697680,400770,4227,785,327645,91352,4620985,1,0,Portuguese
N2C57TM9,327242790,147255,7208,2176,162917,85035,4068823,1,0,English
5BVJO5L5,326488155,122925,16252,2663,164092,45255,6226900,1,0,Korean
EMFYV2F5,325731015,108990,7872,2984,430755,84034,4331397,1,1,English
YACCR20R,325637220,52530,89949,5114,575769,183662,13742820,1,0,English
P27GHCAX,325018110,204975,5967,1516,135687,12731,12070678,1,0,Chinese
LM866KDG,324433515,118005,16153,2652,330060,143256,10000927,1,0,English
SZMXNLYC,323225055,54810,53526,5331,1448018,1145810,8378248,1,0,Spanish
RDSHGA98,322841490,81210,17165,3846,353687,236441,4008897,1,0,Italian
DMX3EYZQ,320121405,135150,103833,1595,182492,131913,4176079,1,0,English
98C8WUVB,319194420,154440,16445,2038,241602,163486,3665065,1,0,English
HVAXFMZL,319051995,56310,31194,5620,895851,318247,5587147,1,1,German
